fips,name,centroid_lat,centroid_lon,gdd,population,score_grains,score_vegetables,score_livestock,score_mariculture,score_greenhouse
02016,Aleutians West,54.2402,-176.78745,350,5750,1,2,1,3,1
02150,Kodiak Island,57.3589,-154.29685,760,13592,1,3,3,5,3
02068,Denali,63.542,-149.99975,700,2232,2,3,2,0,2
02240,Southeast Fairbanks,63.8717,-144.00065,660,6893,3,3,2,0,2
02170,Matanuska-Susitna,62.27865,-149.71295,1060,108317,4,5,4,1,4
02282,Yakutat,59.66565,-140.69665,800,604,1,2,1,3,2
02198,Prince of Wales-Hyder,55.8995,-132.33595,990,6203,1,3,2,4,3
02195,Petersburg,57.0899,-132.8919,890,3266,2,3,2,4,3
02275,Wrangell,56.2688,-132.0835,940,2127,1,3,2,4,3
02188,Northwest Arctic,66.8659,-159.8711,300,7793,0,1,0,2,1
02110,Juneau,58.3813,-134.19705,1000,32255,2,3,2,4,3
02230,Skagway,59.57215,-135.3564,700,1183,1,2,1,2,2
02105,Hoonah-Angoon,58.13575,-135.33955,850,2148,1,2,1,4,2
02066,Copper River,61.80475,-144.3732,590,2701,1,2,2,1,2
02063,Chugach,60.38015,-145.4574,640,6875,1,2,2,4,2
02185,North Slope,69.7199,-153.98635,100,11031,0,1,0,1,1
02100,Haines,58.92985,-135.4047,900,2530,2,3,2,3,3
02158,Kusilvak,62.11725,-163.23765,450,8314,1,2,1,3,1
02130,Ketchikan Gateway,55.52745,-131.1257,1100,13901,1,3,2,4,3
02220,Sitka,57.07545,-135.4599,950,8588,1,3,2,4,3
02020,Anchorage,61.1085,-149.4433,860,291538,1,3,1,2,5
02070,Dillingham,59.66345,-158.68255,450,4916,1,2,2,4,2
02122,Kenai Peninsula,60.03945,-151.65595,800,58708,2,4,3,5,3
02050,Bethel,60.3943,-163.11915,490,17013,1,2,1,3,2
02290,Yukon-Koyukuk,65.22295,-151.02455,610,5230,1,2,1,0,2
02013,Aleutians East,55.43065,-162.55955,400,3302,1,2,1,4,2
02164,Lake and Peninsula,58.27235,-156.6487,410,1592,1,2,2,4,1
02180,Nome,64.7557,-165.67135,390,10014,1,2,1,2,2
02060,Bristol Bay,58.7505,-157.1591,450,999,1,2,2,5,2
02090,Fairbanks North Star,64.85535,-146.2737,820,97581,3,4,2,0,3
