OperationGroupEN,PropertyNameEN,OperatorOwnersEN,ProvincesEN,CommoditiesEN,DevelopmentStageEN,ActivityStatusEN,Latitude,Longitude,Website,OBJECTID
"Mines and other primary producing sites","Beaver Brook","China Minmetals Rare Earth Group Co., Ltd.","Newfoundland and Labrador","Antimony","Past producer","On hold / suspended",48.715909,-55.196,"Not available/Pas disponible",8
"Mines and other primary producing sites","St. Lawrence Fluorspar","Canada Fluorspar Inc. / Fluorspar Holdings PTE Ltd.","Newfoundland and Labrador","Fluorspar","Past producer","On hold / suspended",46.9038,-55.4003,"https://canadafluorspar.ca/",9
"Mines and other primary producing sites","Voisey’s Bay","Vale S.A. ","Newfoundland and Labrador","Nickel, copper, cobalt","Mine","Active",56.331659,-62.090855,"https://vale.com",10
"Mines and other primary producing sites","Scotia","EDM Resources Inc.","Nova Scotia","Zinc, lead, gypsum","Past producer","On hold / suspended",45.03248,-63.34479,"https://www.edmresources.com",14
"Mines and other primary producing sites","Caribou","New Brunswick Government","New Brunswick","Zinc, lead, silver, copper, gold","Past producer","On hold / suspended",47.56418,-66.29013,"Not available/Pas disponible",23
"Mines and other primary producing sites","Lac Tio","Rio Tinto Group","Quebec","Ilmenite","Mine","Active",50.5541,-63.416,"https://www.riotinto.com/",74
"Mines and other primary producing sites","Bloom Lake","Champion Iron Ltd.","Quebec","High-purity iron ore","Mine","Active",52.84,-67.28,"https://www.championiron.com/",75
"Mines and other primary producing sites","Niobec","Magris Performance Materials Inc.","Quebec","Niobium","Mine","Active",48.532148,-71.156929,"https://www.magrispm.com/",76
"Mines and other primary producing sites","Raglan","Glencore Canada Corporation","Quebec","Nickel, platinum group metals, copper, cobalt, gold, silver","Mine","Active",61.687171,-73.674669,"https://www.glencore.ca",77
"Mines and other primary producing sites","Nunavik Nickel","Canadian Royalties Inc.","Quebec","Nickel, copper, platinum group metals, cobalt","Mine","Active",61.420856,-74.1375,"https://www.canadianroyalties.com/",78
"Mines and other primary producing sites","Lac-des-Îles","Northern Graphite Corporation","Quebec","Graphite","Mine","Active",46.3753,-75.5357,"http://northerngraphite.com",79
"Mines and other primary producing sites","Akasaba West (Goldex)","Agnico Eagle Mines Limited","Quebec","Gold, copper","Mine","Active",48.04,-77.58,"https://www.agnicoeagle.com",80
"Mines and other primary producing sites","North American Lithium","Sayona Mining Ltd.","Quebec","Lithium","Mine","Active",48.4115,-77.80934,"https://sayonamining.com.au/",81
"Mines and other primary producing sites","LaRonde","Agnico Eagle Mines Limited","Quebec","Gold, zinc, copper, silver, cadmium","Mine","Active",48.2516,-78.428,"https://www.agnicoeagle.com",82
"Mines and other primary producing sites","Nickel Rim South","Glencore Canada Corporation","Ontario","Nickel, copper, cobalt, platinum group metals, gold","Past producer","On hold / suspended",46.657982,-80.796793,"https://www.glencore.ca",135
"Mines and other primary producing sites","Garson","Vale S.A. ","Ontario","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Mine","Active",46.568,-80.857,"https://vale.com",136
"Mines and other primary producing sites","Copper Cliff Complex","Vale S.A. ","Ontario","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Mine","Active",46.491445,-81.068205,"https://vale.com",137
"Mines and other primary producing sites","Creighton","Vale S.A. ","Ontario","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Mine","Active",46.474,-81.1861,"https://vale.com",138
"Mines and other primary producing sites","Coleman","Vale S.A. ","Ontario","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Mine","Active",46.6771,-81.3397,"https://vale.com",139
"Mines and other primary producing sites","Fraser","Glencore Canada Corporation","Ontario","Nickel, copper, platinum group metals, gold, cobalt, silver","Mine","Active",46.6633,-81.3404,"https://www.glencore.ca",140
"Mines and other primary producing sites","Kidd Creek","Glencore Canada Corporation","Ontario","Copper, zinc, silver, selenium, indium","Mine","Active",48.6894,-81.37,"https://www.glencore.ca",141
"Mines and other primary producing sites","McCreedy West","KGHM Polska Miedź S.A.","Ontario","Copper, nickel, platinum group metals, gold, silver, cobalt, tellurium","Mine","Active",46.638059,-81.39894,"https://kghm.com/en",142
"Mines and other primary producing sites","Totten","Vale S.A. ","Ontario","Nickel, copper, platinum group metals, gold, silver, cobalt","Mine","Active",46.381174,-81.454839,"https://vale.com",143
"Mines and other primary producing sites","Lac des Iles","Impala Canada Ltd.","Ontario","Platinum group metals, gold, nickel, copper, cobalt","Mine","Active",49.1691,-89.6105,"https://impalacanada.com",144
"Mines and other primary producing sites","Tanco","Sinomine Resource Group Co., Ltd.","Manitoba","Cesium, lithium (spodumene)","Mine","Active",50.4291,-95.4502,"https://en.sinomine.cn/",164
"Mines and other primary producing sites","Thompson (T-1 and T-3)","Vale S.A. ","Manitoba","Nickel, cobalt, copper, platinum group metals, gold, silver","Mine","Active",55.7152,-97.8444,"https://vale.com",165
"Mines and other primary producing sites","Bucko Lake","Canickel Mining Limited","Manitoba","Nickel, copper","Past producer","On hold / suspended",54.8797,-98.6558,"http://www.canickel.com",166
"Mines and other primary producing sites","Lalor Lake","Hudbay Minerals Inc.","Manitoba","Gold, zinc, copper, silver","Mine","Active",54.86667,-100.13333,"https://hudbayminerals.com",167
"Mines and other primary producing sites","Rocanville","Nutrien Ltd.","Saskatchewan","Potash","Mine","Active",50.471916,-101.544281,"https://www.nutrien.com",188
"Mines and other primary producing sites","Esterhazy (K-3)","The Mosaic Company","Saskatchewan","Potash, salt","Mine","Active",50.659914,-101.845218,"https://mosaicincanada.com/",189
