OperationGroupEN,PropertyNameEN,OperatorOwnersEN,ProvincesEN,CommoditiesEN,DevelopmentStageEN,ActivityStatusEN,Latitude,Longitude,Website,OBJECTID
"Project","Port Hope Simpson (Deep Fox and Foxtrot)","Search Minerals Inc.","Newfoundland and Labrador","Rare earth elements","Advanced project","Active",52.39833,-55.82417,"https://searchminerals.ca/",1
"Project","Green Bay Copper-Gold (Ming)","FireFly Metals Ltd.","Newfoundland and Labrador","Copper, gold, silver","Past producer","Active",49.915,-56.087,"https://fireflymetals.com.au/",2
"Project","Great Burnt","Benton Resources Inc.","Newfoundland and Labrador","Copper, gold","Advanced project","Active",48.3758,-56.1344,"https://www.bentonresources.ca/",3
"Project","Buchans","Canterra Minerals Corporation","Newfoundland and Labrador","Zinc, lead, copper, silver, gold","Advanced project","Active",48.829018,-56.855965,"https://canterraminerals.com/",4
"Project","Michelin","Paladin Energy Limited","Newfoundland and Labrador","Uranium","Advanced project","Active",54.584,-59.984,"https://www.paladinenergy.com.au/",5
"Project","Scully Mine - Manganese project","Tacora Resources Inc.","Newfoundland and Labrador","Manganese","Advanced unconventional project","Active",52.91806,-66.91222,"https://www.tacoraresources.com",6
"Project","Kamistiatusset (Kami)","Champion Iron Ltd.","Newfoundland and Labrador","High-purity iron ore","Advanced project","Active",52.82176,-66.93855,"https://www.championiron.com",7
"Project","East Kemptville","Avalon Advanced Materials Inc.","Nova Scotia","Tin","Advanced unconventional project","On hold / suspended",44.10091,-65.68645,"https://www.avalonadvancedmaterials.com",13
"Project","Millstream","Atlantic Potash Millstream Corporation","New Brunswick","Potash","Advanced project","Active",45.705,-65.63,"https://www.apmcpotash.ca",15
"Project","Nash Creek","Callinex Mines Inc.","New Brunswick","Zinc, lead, silver","Advanced project","Active",47.88939,-66.09771,"https://callinex.ca",16
"Project","Halfmile-Stratmat","New Brunswick Government","New Brunswick","Zinc, lead, silver, copper, gold","Advanced project","On hold / suspended",47.30417,-66.3125,"Not available/Pas disponible",17
"Project","Murray Brook","Canadian Copper Inc.","New Brunswick","Zinc, lead, silver, copper, gold","Advanced project","Active",47.52528,-66.43167,"https://canadiancopper.com/",18
"Project","Mount Pleasant","Adex Mining Inc.","New Brunswick","Tin, zinc, tungsten, molybdenum","Advanced project","On hold / suspended",45.44167,-66.82,"http://www.adexmining.com",19
"Project","Sisson","Northcliff Resources Ltd.","New Brunswick","Tungsten, molybdenum","Advanced project","Active",46.365,-67.045,"http://www.northcliffresources.com",20
"Project","Battery Hill","Manganese X Energy Corp.","New Brunswick","Manganese, iron ore","Advanced project","Active",46.22531,-67.62547,"https://www.manganesexenergycorp.com",21
"Project","Woodstock","Canadian Manganese Company Inc.","New Brunswick","Manganese, iron ore","Advanced project","Active",46.18,-67.64,"https://www.canadianmanganese.com",22
"Project","Crater Lake","Scandium Canada Ltd.","Quebec","Scandium, rare earth elements","Advanced project","Active",55.35025,-63.8991,"https://scandium-canada.com/",24
"Project","Strange Lake","Torngat Metals Ltd.","Quebec","Rare earth elements, niobium","Advanced project","Active",56.35,-64.2,"https://torngatmetals.com/",25
"Project","Kwyjibo","SOQUEM Inc. / Investissement Québec","Quebec","Rare earth elements, phosphate, iron ore","Advanced project","Active",51.04975,-65.26564,"https://www.projet-kwyjibo.com",26
"Project","Rare Earth Separation Plant","Torngat Metals Ltd.","Quebec","Rare earth elements","Advanced processing project","Active",50.2953,-66.3751,"https://torngatmetals.com/",27
"Project","Arnaud","Mine Arnaud Inc.","Quebec","Phosphate","Advanced project","On hold / suspended",50.25,-66.5,"Not available/Pas disponible",28
"Project","Lac Carheil (Lac Rainy Graphite)","Metals Australia Ltd.","Quebec","Graphite","Advanced project","Active",52.60511,-67.07597,"https://www.metalsaustralia.com.au",29
"Project","Lac Knife","Focus Graphite Inc.","Quebec","Graphite","Advanced project","Active",52.54974,-67.18179,"http://www.focusgraphite.com",30
"Project","Coated Spheronized Purified Graphite (CSPG) Refi","Northern Graphite Corporation","Quebec","Coated spherical purified graphite","Advanced processing project","Active",49.2192,-68.1673,"http://northerngraphite.com",31
"Project","Eldor (Ashram)","Commerce Resources Corp.","Quebec","Rare earth elements, fluorspar","Advanced project","Active",56.94583,-68.40417,"https://commerceresources.com",32
"Project","Uatnan","Nouveau Monde Graphite Inc.","Quebec","Graphite","Advanced project","Active",51.14,-69.1,"https://nmg.com/",33
"Project","Lac a L'Orignal (Moose Lake)","First Phosphate Corp.","Quebec","Phosphate, titanium, iron ore","Advanced project","Active",49.07,-70.58,"https://firstphosphate.com/",34
"Project","Lac à Paul","Arianne Phosphate Inc.","Quebec","Phosphate","Advanced project","Active",49.9,-70.74,"http://www.arianne-inc.com",35
"Project","Blackrock Pyrometallurgical Facility","Strategic Resources Inc.","Quebec","Iron ore, vanadium, titanium","Advanced processing project","Active",48.399648,-70.854841,"https://strategic-res.com/",36
"Project","Saint-Honoré","Magris Performance Materials Inc.","Quebec","Rare earth elements","Advanced project","On hold / suspended",48.54277,-71.15445,"https://www.magrispm.com",37
"Project","Gallium Pilot Plant","Rio Tinto Group","Quebec","Gallium","Advanced processing project","Active",48.428476,-71.157919,"https://www.riotinto.com/",38
"Project","Elysis","Alcoa Corporation / Rio Tinto Aluminum Inc.","Quebec","Aluminum","Advanced processing project","Active",48.43214,-71.17565,"https://www.elysis.com",39
"Project","Bégin-Lamarche","First Phosphate Corp.","Quebec","Phosphate","Advanced project","Active",48.755833,-71.364167,"https://firstphosphate.com/",40
"Project","Battery Material Plant","Nouveau Monde Graphite Inc.","Quebec","Coated spherical purified graphite","Advanced processing project","Active",46.38481,-72.37245,"https://nmg.com/",41
"Project","Lithium Carbonate Refinery","Lithium Universe Ltd","Quebec","Lithium carbonate","Advanced processing project","Active",46.3638,-72.3932,"https://www.lithiumuniverse.com/",42
"Project","Bécancour Plant","Euro Manganese Inc.","Quebec","Manganese sulphate","Advanced processing project","Active",46.333332,-72.433334,"https://www.mn25.ca/",43
"Project","Nemaska lithium conversion facility","Nemaska Lithium Inc.","Quebec","Lithium hydroxide","Advanced processing project","Active",46.333332,-72.433334,"https://www.nemaskalithium.com",44
"Project","Nickel Sulphate Plant","Vale S.A. ","Quebec","Nickel sulphate","Advanced processing project","Active",46.3471,-72.4335,"https://vale.com",45
"Project","Adina","Winsome Resources","Quebec","Lithium (spodumene)","Advanced project","Active",53.29997,-72.48467,"https://winsomeresources.com.au/",46
"Project","Crevier","Niobay Metals Inc.","Quebec","Niobium, tantalum","Advanced project","Active",49.46003,-72.7644,"https://niobaymetals.com",47
"Project","Scandium Demonstration Plant","Rio Tinto Group","Quebec","Scandium","Advanced unconventional project","Active",46.043727,-73.139626,"https://www.riotinto.com/",48
"Project","Lithium Demonstration Plant","Rio Tinto Group","Quebec","Lithium","Advanced processing project","Active",46.043727,-73.139626,"https://www.riotinto.com/",49
"Project","REE Recycling Facility (Saint-Bruno)","Geomega Resources Inc.","Quebec","Rare earth elements","Advanced unconventional project","Active",45.525976,-73.340812,"https://geomega.ca",50
"Project","Lithion St-Bruno","Lithion Technologies","Quebec","Battery materials (black mass)","Advanced processing project","Active",45.533333,-73.349998,"https://www.lithiontechnologies.com/",51
"Project","Matawinie","Nouveau Monde Graphite Inc.","Quebec","Graphite","Advanced project","Active",46.61728,-73.9212,"https://nmg.com/",52
"Project","Shaakichiuwaanaan (Corvette)","Patriot Battery Metals Inc.","Quebec","Lithium (spodumene), tantalum","Advanced project","Active",53.55369,-73.92993,"https://patriotbatterymetals.com/",53
"Project","Lac Doré Vanadium","VanadiumCorp Resource Inc.","Quebec","Iron ore, vanadium, titanium","Advanced project","Active",49.84573,-73.95682,"https://www.vanadiumcorp.com",54
"Project","Blackrock","Strategic Resources Inc.","Quebec","Iron ore, vanadium, titanium","Advanced project","Active",49.800453,-74.062113,"https://strategic-res.com/",55
"Project","Mont Sorcier","Voyager Metals Inc.","Quebec","Iron ore, vanadium","Advanced project","Active",49.918163,-74.127578,"https://voyagermetals.com/",56
"Project","Corner Bay Complex","Doré Copper Mining Corp.","Quebec","Copper, gold","Advanced project","Active",49.893,-74.309,"https://www.dorecopper.com",57
"Project","Troilus","Troilus Gold Corporation","Quebec","Gold, copper, silver","Advanced project","Active",51.01,-74.46,"https://www.troilusgold.com",58
"Project","Miller","Canada Carbon Inc.","Quebec","Graphite","Advanced project","On hold / suspended",45.66498,-74.60994,"https://www.canadacarbon.com",59
"Project","Scott Lake","Yorbeau Resources Inc.","Quebec","Zinc, copper, gold, silver","Advanced project","Active",49.86103,-74.67023,"https://www.yorbeauresources.com",60
